,_healpix_29,amplitude_g,amplitude_r,amplitude_i,amplitude_z,inter_percentile_range_25_g,inter_percentile_range_25_r,inter_percentile_range_25_i,inter_percentile_range_25_z,anderson_darling_normal_g,anderson_darling_normal_r,anderson_darling_normal_i,anderson_darling_normal_z,beyond_1_std_g,beyond_1_std_r,beyond_1_std_i,beyond_1_std_z,chi2_pvar_g,chi2_pvar_r,chi2_pvar_i,chi2_pvar_z,cusum_g,cusum_r,cusum_i,cusum_z,eta_g,eta_r,eta_i,eta_z,eta_e_g,eta_e_r,eta_e_i,eta_e_z,excess_variance_g,excess_variance_r,excess_variance_i,excess_variance_z,kurtosis_g,kurtosis_r,kurtosis_i,kurtosis_z,lafler_kinman_string_length_g,lafler_kinman_string_length_r,lafler_kinman_string_length_i,lafler_kinman_string_length_z,maximum_slope_g,maximum_slope_r,maximum_slope_i,maximum_slope_z,mean_g,mean_r,mean_i,mean_z,mean_variance_g,mean_variance_r,mean_variance_i,mean_variance_z,median_g,median_r,median_i,median_z,median_absolute_deviation_g,median_absolute_deviation_r,median_absolute_deviation_i,median_absolute_deviation_z,median_buffer_range_percentage_10_g,median_buffer_range_percentage_10_r,median_buffer_range_percentage_10_i,median_buffer_range_percentage_10_z,otsu_mean_diff_g,otsu_std_lower_g,otsu_std_upper_g,otsu_lower_to_all_ratio_g,otsu_mean_diff_r,otsu_std_lower_r,otsu_std_upper_r,otsu_lower_to_all_ratio_r,otsu_mean_diff_i,otsu_std_lower_i,otsu_std_upper_i,otsu_lower_to_all_ratio_i,otsu_mean_diff_z,otsu_std_lower_z,otsu_std_upper_z,otsu_lower_to_all_ratio_z,percent_amplitude_g,percent_amplitude_r,percent_amplitude_i,percent_amplitude_z,percent_difference_magnitude_percentile_5_g,percent_difference_magnitude_percentile_5_r,percent_difference_magnitude_percentile_5_i,percent_difference_magnitude_percentile_5_z,chi2_g,chi2_r,chi2_i,chi2_z,roms_g,roms_r,roms_i,roms_z,skew_g,skew_r,skew_i,skew_z,standard_deviation_g,standard_deviation_r,standard_deviation_i,standard_deviation_z,stetson_K_g,stetson_K_r,stetson_K_i,stetson_K_z,weighted_mean_g,weighted_mean_r,weighted_mean_i,weighted_mean_z
384,2528737727753732726,1.4752741,0.30681992,0.18409443,0.20837975,0.22711182,0.26265717,0.10533333,0.15018654,8.1010685,0.6150984,2.0938072,0.47124115,0.057692308,0.40816328,0.26666668,0.2982456,0.0,0.0,0.0,0.0,0.21894474,0.20803301,0.36853683,0.29303584,1.9661579,0.5066865,0.44659278,0.8663684,1.08702936e+08,1.7998232e+07,5.6953935e+06,1.2362538e+07,0.00036561617,5.096827e-05,1.2347921e-05,2.4860938e-05,20.410084,-1.0331702,0.5110247,-0.7561476,0.9907373,0.34607142,0.25705454,0.43896502,6258.203,535.6406,471.96094,423.05078,22.537508,21.371176,20.672174,20.253288,0.020662433,0.007615374,0.0036599217,0.0052035777,22.412077,21.353216,20.69306,20.26353,0.082818985,0.12672234,0.043559074,0.079977036,0.65384614,0.12244898,0.18888889,0.05263158,2.1389694,0.18676372,0.7430739,0.96153843,0.28037262,0.09246051,0.07311797,0.59183675,0.13377953,0.05277919,0.032747608,0.34444445,0.17935371,0.058863994,0.050785866,0.47368422,2.7075634,0.31700516,0.25517464,0.23861504,0.04545469,0.023455605,0.011222382,0.01636269,7.429761,18.579216,13.783847,18.456955,1.900509,4.0504527,3.0049562,3.7194622,4.218919,0.020515276,-0.8822683,-0.1992418,0.46567973,0.1627495,0.07565854,0.10538956,0.7450721,0.8540815,0.80939114,0.81294656,22.445713,21.439823,20.69115,20.30482
385,2528737729068365704,1.5427675,0.36801815,2.0807362,0.34236813,0.28294563,0.37090492,0.1707573,0.26533318,5.387304,1.1853713,16.19871,1.6217458,0.08163265,0.40816328,0.022222223,0.28070176,0.0,0.0,0.0,0.0,0.22169243,0.19266279,0.15233284,0.29767472,2.0833905,0.5082408,1.8145297,0.5407734,1.2843106e+08,9.782399e+06,7.368358e+06,3.08338e+06,0.00030870872,8.554392e-05,0.00045020302,8.15512e-05,17.328978,-1.0803442,71.31267,-0.2703302,1.0596969,0.30591857,0.9149534,0.29919642,6319.176,632.90234,5225.5547,286.67188,22.593334,20.93436,20.41554,19.979845,0.021069914,0.009418964,0.021291604,0.0091045275,22.458502,20.884783,20.386688,19.924253,0.11936951,0.12829018,0.08097744,0.11914253,0.5510204,0.12244898,0.87777776,0.1754386,2.0318813,0.22319666,0.8159872,0.9591837,0.35666656,0.096308194,0.09053515,0.63265306,3.8979683,0.14265753,0.0,0.98888886,0.31199646,0.06757901,0.12913895,0.5964912,2.6607685,0.40972137,3.8835087,0.4862938,0.04569976,0.027694698,0.02084559,0.029242737,10.456926,57.276173,69.1146,100.78222,2.2001464,7.3616505,6.77212,8.197304,3.7245808,0.30286556,8.020053,0.7915234,0.47603962,0.19717999,0.43467963,0.18190704,0.70301235,0.8738634,0.81099623,0.8161196,22.490412,21.015446,20.385767,20.051777
387,2528737734202213547,2.155527,2.3226671,2.2964497,2.9327917,0.7252712,2.3212109,1.4269791,1.9429626,2.700385,0.8904816,0.54182047,0.43626657,0.23913044,0.4,0.36666667,0.3392857,0.0,0.0,0.0,0.0,0.21973775,0.19862826,0.39579082,0.31897262,1.1071584,0.60635054,0.35735825,0.7229908,4.6708616e+07,6.6537005e+06,3.5609925e+06,5.025703e+06,0.0014135911,0.0035256683,0.0021124766,0.0038491138,2.4000373,-0.9151814,-0.13035941,-0.27296853,0.5687135,0.38577867,0.25874922,0.404301,7507.1094,2883.6719,4507.4766,4058.4062,23.360962,22.62124,22.51476,21.606802,0.039877735,0.060491733,0.04646235,0.06309165,23.049778,22.339865,22.647152,21.4289,0.3841467,0.9042759,0.6968365,0.9570217,0.36956522,0.15555556,0.17777778,0.16071428,2.2107277,0.43434912,0.6926961,0.84782606,2.5713272,0.74910134,0.5681278,0.7111111,1.7235794,0.69988394,0.5247747,0.42222223,2.2792492,0.66846246,0.86253655,0.5714286,3.2938957,2.9607239,2.9042912,3.8170853,0.14039081,0.19239408,0.1572034,0.20679623,17.307892,163.81622,268.18506,224.86722,3.4005964,10.556675,14.695598,16.964575,1.5644189,0.42921972,-0.50086904,0.4774343,0.9315822,1.3683981,1.0460886,1.3632088,0.796062,0.78318554,0.8109999,0.87233573,22.893661,21.540625,21.388756,20.297647
388,2528737734236961814,2.0851288,1.107892,2.7786713,1.3031845,0.5205116,1.2423363,0.71899986,0.9907799,5.6757927,1.5585251,4.6103163,1.858022,0.13207547,0.39583334,0.16666667,0.2982456,0.0,0.0,0.0,0.0,0.26531863,0.20183499,0.26931283,0.2792907,1.9443363,0.56041485,1.2452188,0.6490202,9.177939e+07,1.0137402e+07,2.6104212e+07,3.8279912e+06,0.0012020324,0.0011487976,0.0017604044,0.0014337181,8.897359,-1.0724556,14.314964,-0.40307713,0.9920083,0.3300652,0.6491419,0.36520243,8388.766,3068.9922,15990.453,2249.1367,21.44859,20.32099,19.82022,19.222399,0.035227202,0.03390588,0.04200243,0.037869498,21.18233,20.153362,19.748386,19.00064,0.1827755,0.4786625,0.35949993,0.46111488,0.5471698,0.125,0.4,0.10526316,1.8773384,0.268707,0.9151318,0.8679245,1.3008423,0.3074022,0.29805896,0.6666667,4.3736687,0.5280144,0.13532983,0.9777778,1.2552242,0.25952262,0.5150409,0.5964912,3.7747688,1.4914703,4.444006,1.8633251,0.09457482,0.10586924,0.09487821,0.11890211,267.65985,1683.2416,3498.051,3374.6274,11.1284685,34.625286,49.353317,51.38543,2.7084553,0.5105523,3.077608,0.7933279,0.7555738,0.689001,0.8324974,0.7279426,0.6685655,0.8325491,0.83321357,0.86600465,21.174196,20.226439,19.57791,18.959974
389,2528737734283311023,2.0277147,0.84364605,2.6451635,1.153017,0.6462879,1.11767,0.5014305,0.79846954,5.7029967,2.738901,4.389,2.53779,0.13207547,0.39583334,0.17045455,0.24561404,0.0,0.0,0.0,0.0,0.26905507,0.20072143,0.26664996,0.26298463,1.92436,0.5432686,1.2323763,0.67889386,9.330384e+07,5.7515285e+06,4.5386016e+07,3.2797645e+06,0.0012152806,0.00085939636,0.0009841386,0.0011222899,9.397112,-1.3159919,31.353115,-0.09866166,0.9769179,0.32878256,0.64946103,0.38151273,8210.527,1671.9844,17978.734,1677.875,21.237467,20.056807,19.468376,18.915098,0.03512625,0.029324317,0.031390194,0.033503827,20.91646,19.801064,19.471684,18.758173,0.15217781,0.34640026,0.24627972,0.365757,0.5849057,0.125,0.52272725,0.1754386,1.7896957,0.28358147,0.9882262,0.8679245,1.1461334,0.23054351,0.19980009,0.6666667,4.4799232,0.38352168,0.0,0.9886364,1.3627281,0.33659154,0.3011392,0.80701756,3.7922401,1.2564983,4.425707,1.7020626,0.091835506,0.080977336,0.071946084,0.10130482,393.3527,2038.2634,3264.7385,4415.27,12.323996,39.46641,47.33468,56.682007,2.777824,0.54490095,4.390428,0.97091454,0.7459926,0.58815217,0.6111161,0.63372815,0.6652079,0.8721208,0.8339021,0.84179235,20.963074,20.009497,19.370955,18.740852
390,2528737734290781439,1.5064526,0.030537605,2.509266,0.12830067,0.029684067,0.014787674,0.008150101,0.010684967,15.642843,1.2432022,33.977615,12.318572,0.057692308,0.20833333,0.011363637,0.03508772,0.0,0.0,0.0,0.0,0.20163362,0.2722806,0.10537971,0.13772824,1.669518,1.7173507,2.0240932,2.0646746,9.997608e+07,9.1668216e+07,7.607809e+07,7.537898e+07,0.0006311658,2.446559e-07,0.0008450407,3.8272556e-06,22.863308,0.6502733,87.967865,33.504265,0.8419456,0.903128,1.0120474,1.0329884,7542.3203,106.63281,20460.898,495.76953,20.490025,19.06975,18.320885,17.909756,0.025176423,0.0006520364,0.029076617,0.0019714641,20.35839,19.07259,18.264175,17.902296,0.013744354,0.0068531036,0.004155159,0.0044822693,0.88461536,0.22916667,0.9886364,0.877193,2.5442963,0.12730806,0.5735033,0.96153843,0.023330688,0.008868365,0.0065504843,0.25,4.9968147,0.007101765,0.0,0.9886364,0.17277908,0.009100333,0.087928444,0.9649123,2.9835987,0.03899765,4.996744,0.23635292,0.033853993,0.0020299954,0.0013618865,0.0024470594,25.199951,3.899771,30.084978,31.16206,2.620001,1.5271724,2.1418996,2.5149276,4.7245035,-0.8797232,9.378298,5.5051007,0.5158655,0.012434171,0.53270936,0.03530844,0.52251285,0.7671821,0.38864884,0.46605724,20.35992,19.07223,18.263872,17.905544
391,2528737734309118672,1.9135408,2.4260235,2.0311708,2.5382175,1.3356705,2.6418076,1.388504,1.8329144,3.7591877,1.5886465,0.7489964,0.8354495,0.23529412,0.35416666,0.3678161,0.33333334,0.0,0.0,0.0,0.0,0.3164203,0.20143257,0.4106453,0.30684996,1.1085976,0.58787656,0.28238842,0.5656818,5.0513316e+07,9.215064e+06,2.6264355e+06,3.37877e+06,0.0016138449,0.0043368097,0.0020231907,0.0038776884,-0.30306315,-0.97243524,-0.4456153,-0.56553245,0.61640686,0.34233397,0.21926233,0.3305828,8359.141,3792.6797,3858.4219,3668.8008,22.865965,22.224295,21.867987,21.039598,0.044451542,0.06660868,0.045130964,0.062463835,22.441614,21.824842,22.055454,20.891457,0.34796906,1.0271988,0.76482964,0.9205437,0.3137255,0.14583333,0.13793103,0.07017544,1.9862347,0.27260542,0.6223923,0.6862745,2.8375854,0.6812603,0.6040223,0.6875,1.6565533,0.63591653,0.45806396,0.43678162,2.2255135,0.54572517,0.84262425,0.54385966,2.9073658,3.3510208,2.5519981,3.203043,0.13256691,0.20467095,0.15081996,0.1955347,41.081284,321.83356,592.42303,463.76202,5.633859,14.696441,24.173979,26.382812,1.0042691,0.56349874,-0.46567023,0.5115214,1.0164274,1.4803311,0.98692334,1.314214,0.776671,0.7711769,0.8395518,0.8895723,22.242971,21.198526,20.91147,19.91199
392,2528737734602136048,1.4373655,1.8044167,3.1738377,1.9403448,1.0424614,2.0369072,1.0882416,1.5628738,3.4378357,2.378808,1.8957678,1.7104486,0.26923078,0.35416666,0.2,0.3508772,0.0,0.0,0.0,0.0,0.34504008,0.21110351,0.33465472,0.28221133,0.9196457,0.49648675,0.89125746,0.6398661,3.6511644e+07,3.0729212e+06,1.8381478e+07,3.6356112e+06,0.0013055998,0.0029468483,0.0024239968,0.003032011,0.21917892,-1.0011737,6.8194094,-0.5428021,0.54089355,0.30776775,0.48516867,0.3537345,6484.0234,2058.5,15870.477,3217.2773,21.975735,21.094992,20.747143,19.907135,0.036426015,0.054332655,0.04963747,0.055082653,21.645275,20.655254,20.785122,19.700356,0.34447098,0.6826601,0.53749275,0.7614498,0.32692307,0.125,0.33333334,0.10526316,1.5291405,0.24487942,0.55857766,0.6923077,2.2267609,0.47423598,0.49358204,0.6875,1.4257011,0.46781647,0.92729455,0.47777778,1.8915005,0.4493346,0.7602696,0.61403507,2.3083897,2.7324886,4.5538883,2.635357,0.118807584,0.16092736,0.13169327,0.1703828,165.05058,957.50116,2221.476,1827.643,10.507182,25.619112,42.720074,46.778202,1.1368302,0.671936,1.7836455,0.72670346,0.8004884,1.1461469,1.0298357,1.0965378,0.72828776,0.8213507,0.83722067,0.8941599,21.50069,20.555925,20.164404,19.202053
393,2528737734606819564,1.7336359,0.83897305,3.0540037,1.1898203,0.580637,1.1297588,0.5100403,0.814497,3.8745284,2.7121422,6.0301414,2.4216683,0.09615385,0.39583334,0.11363637,0.28070176,0.0,0.0,0.0,0.0,0.29506028,0.19854677,0.24347006,0.2629013,1.5665314,0.5319481,1.3735996,0.67931694,7.472534e+07,6.425079e+06,5.109037e+07,3.6007962e+06,0.00077581214,0.0008677185,0.0012091518,0.0011309976,10.857819,-1.3126267,40.303944,-0.01824379,0.80168235,0.32590252,0.713365,0.38281015,6419.9297,1941.0469,21258.758,1658.4141,21.196861,20.07637,19.480751,18.916933,0.02798679,0.029466199,0.034847695,0.033633552,20.997593,19.835129,19.471031,18.693968,0.19645596,0.34085846,0.24291325,0.37597466,0.42307693,0.125,0.57954544,0.15789473,1.4417706,0.27340418,0.84276956,0.88461536,1.1539211,0.23121367,0.19796874,0.6666667,5.2811527,0.38155615,0.0,0.9886364,1.3634014,0.3390212,0.31552014,0.80701756,3.1130733,1.2346325,5.230858,1.8355618,0.07087875,0.08349209,0.07219456,0.10323535,400.38354,1993.052,3115.4915,4360.2544,13.492155,38.22129,46.506775,55.43307,2.8063242,0.5435121,5.2753158,0.9814854,0.5932321,0.5915743,0.6788593,0.63624364,0.6662119,0.8693635,0.83498,0.8446407,20.99465,20.01902,19.376165,18.740992
395,2528737742551846533,2.276661,1.5543423,1.8200312,1.8417368,1.4373837,2.007412,1.4023609,1.5427551,0.46166342,1.8512564,1.2846173,2.6902108,0.2888889,0.5,0.39325842,0.24561404,0.0,0.0,0.0,0.0,0.41139492,0.2822178,0.4129665,0.27530143,0.41491866,0.40453842,0.24465887,0.4954291,1.2121893e+07,5.158866e+06,2.335392e+06,3.5152245e+06,0.0024426628,0.0020169981,0.0015555703,0.0020819455,-0.7180443,-1.5031266,-0.9245703,-0.427737,0.26826534,0.28255782,0.15036115,0.28803697,4332.6523,2277.8516,3063.6094,1996.3594,22.683638,22.60637,22.463604,21.999304,0.051216926,0.045577284,0.039851084,0.04652286,22.674307,22.367325,22.527925,21.594023,0.762516,0.87577915,0.6511135,0.5461254,0.044444446,0.083333336,0.06741573,0.0877193,1.9636841,0.60475504,0.61658114,0.51111114,1.9035072,0.4680552,0.34703654,0.6041667,1.5388699,0.5227444,0.3921121,0.46067417,1.9032536,0.38055706,0.6419406,0.6666667,2.4365444,1.8538761,2.0318317,2.8734589,0.17046514,0.1300697,0.12438743,0.14021435,356.5006,64.883675,168.23622,29.553583,20.748064,7.072551,12.989097,5.297707,0.060123608,0.20094553,-0.30456483,0.86601627,1.1617862,1.030337,0.895199,1.0234705,0.8495158,0.8690039,0.8671948,0.8458476,21.433872,22.22764,21.473738,21.362005
396,2528737742565023834,2.4304361,2.085534,2.453373,2.026476,1.8995667,2.358944,2.1704063,1.9452038,0.9303645,1.3209648,1.9739814,2.7283094,0.3043478,0.44680852,0.35955057,0.29090908,0.0,0.0,0.0,0.0,0.4340401,0.24719872,0.43165684,0.29091078,0.27493337,0.42908317,0.20530288,0.5854506,1.0668944e+07,9.705415e+06,2.0062052e+06,4.922487e+06,0.0030850212,0.003067004,0.0027703831,0.0024602101,-1.038378,-1.344966,-0.9797206,-0.93007517,0.22944485,0.30860654,0.13142993,0.32945362,4215.371,3911.1328,2878.375,2911.2227,22.694002,22.883389,22.89772,22.284683,0.058652896,0.05653958,0.05535498,0.051549915,22.897623,22.714457,23.291643,21.83057,1.1031456,1.0775185,0.8227997,0.618248,0.04347826,0.06382979,0.16853933,0.10909091,2.3426857,0.51497144,0.69672394,0.47826087,2.3055096,0.5310294,0.6404548,0.5531915,2.27557,0.59946066,0.5848782,0.40449437,2.2043839,0.4455842,0.55694264,0.6727273,2.432146,2.4794483,2.9240494,2.8764744,0.18086466,0.16292322,0.17283085,0.14974497,352.52893,70.73293,144.71022,18.668606,29.435291,7.6370497,19.28193,4.602305,0.13721384,0.24336615,-0.22850212,0.6844534,1.331069,1.2938172,1.2675028,1.1487736,0.8407499,0.81053776,0.8795594,0.8405395,21.289602,22.118134,21.20837,21.448185
397,2528737743611449763,0.95034504,1.3869982,1.5170536,1.5784006,0.45565987,1.0106888,0.6128254,0.9768505,0.5805183,0.32551932,0.83166105,0.46602035,0.27083334,0.40425533,0.29545453,0.27659574,0.0,0.0,0.0,3.8302694e-14,0.17132562,0.19914106,0.251796,0.2980487,0.8444173,0.988388,1.1800789,1.2536016,1.7673116e+07,3.2291616e+07,1.8630476e+07,3.595281e+07,0.00026754028,0.0005608572,7.809601e-05,0.00035072808,1.042584,-0.60326433,0.5214927,0.08495402,0.44088614,0.5283671,0.5923122,0.6279446,1824.0547,3745.8672,4764.1562,3742.8438,22.982874,23.436644,23.718395,23.196625,0.017746087,0.02869876,0.023442045,0.03170325,22.997574,23.389496,23.756798,23.092115,0.23884201,0.50352097,0.30104256,0.50144005,0.22916667,0.21276596,0.27272728,0.17021276,0.60715103,0.21461588,0.3155075,0.47916666,1.1324501,0.41100475,0.32873297,0.61702126,0.9637165,0.36383814,0.34823593,0.27272728,1.2220345,0.36003852,0.49857408,0.59574467,1.1276569,1.3920822,1.5554256,1.9116154,0.07187673,0.08728547,0.07683548,0.118102305,23.95122,17.881977,5.544108,3.4269495,3.3585768,2.5491655,1.7060279,1.4533275,0.67059267,-0.00203037,-0.33870453,0.5769269,0.40785608,0.6726026,0.5560077,0.73540837,0.6860883,0.67729247,0.7830722,0.75384396,22.903463,23.06119,23.39376,22.792612
398,2528737743803634566,1.6943245,1.5182257,1.6492529,1.3660545,1.238842,0.78931046,1.1289749,0.73558044,0.26003394,1.6564187,0.3857103,0.83790606,0.3809524,0.3030303,0.3448276,0.3,0.0,0.0,0.0,0.19650437,0.26986548,0.34531382,0.33504003,0.2783623,0.77863944,0.7263443,0.702029,1.6547676,1.8918248e+07,2.1052482e+07,1.4107896e+07,5.06542e+07,0.0010607785,0.0007237558,-0.00022643524,-0.0004967242,-0.5797627,0.052690506,-0.56523275,0.17815614,0.44588724,0.44431987,0.36777177,0.8901163,3583.4297,1996.4297,2507.6406,2233.8828,23.772873,23.59994,24.153479,23.402533,0.037243355,0.0371539,0.035023697,0.030475575,23.75703,23.258316,24.203053,23.319494,0.619421,0.3965454,0.59001064,0.36779022,0.21428572,0.15151516,0.12068965,0.3,1.4533119,0.51647455,0.5223365,0.5952381,1.8614006,0.41385764,0.44938317,0.7878788,1.3944855,0.4946422,0.46762377,0.44827586,1.3857212,0.3835976,0.4488334,0.76666665,1.9616852,2.3164463,1.7984486,1.7544289,0.12048492,0.12457496,0.120042995,0.10886437,23.636267,9.629818,6.751202,1.2154559,4.6753125,3.0374582,2.7213464,0.93461186,0.23021452,1.0144169,-0.19870442,0.78490114,0.8853816,0.87682974,0.8459441,0.71320564,0.86375856,0.8162736,0.88984233,0.80705726,22.944677,22.792564,22.873775,22.930773
399,2528737746536338832,1.069109,1.3078709,1.0713787,1.8167658,0.66239166,1.5167999,0.49754524,1.2947845,0.34113926,0.960251,1.6369693,0.5815994,0.30612245,0.4375,0.25842696,0.31578946,0.0,0.0,0.0,0.0,0.2672427,0.21420746,0.29107952,0.31512406,1.0801804,0.57590044,0.9350413,0.6529373,3.9959324e+07,8.602519e+06,9.341737e+06,1.3404048e+07,0.0005298829,0.0012344923,0.00031595133,0.0012858273,-0.09499693,-1.2880981,1.4804194,-0.65438366,0.7120921,0.3544964,0.48591477,0.35611036,3385.6016,2272.0938,3204.746,3090.6016,22.190561,22.323423,22.783215,22.609434,0.023340018,0.035509016,0.018719483,0.03876781,22.141401,22.31772,22.871786,22.398396,0.3252697,0.74040604,0.24325752,0.6444931,0.1632653,0.041666668,0.23595506,0.19298245,0.8652458,0.2935958,0.34390083,0.6530612,1.382904,0.33547446,0.41675264,0.5,0.80267143,0.33867586,0.22444768,0.23595506,1.5079689,0.43371794,0.48490512,0.57894737,1.2379799,1.4294662,1.5491009,2.2506618,0.083328635,0.10594541,0.058393918,0.13139933,124.25922,107.08404,20.69359,14.938613,8.681794,8.074177,3.1082566,3.208322,0.47727507,0.14359029,-1.1039987,0.27359486,0.5179281,0.7926828,0.42649,0.87651825,0.7300302,0.8002638,0.7351831,0.8035255,21.945654,22.05359,22.638096,22.028173
400,2528737747578399916,1.5492334,1.4699888,1.8206434,2.1461,1.2331066,1.8070278,1.4105377,1.925991,1.4122651,1.1914681,3.7528405,0.66657066,0.34,0.44680852,0.23404256,0.39655173,0.0,0.0,0.0,0.0,0.38494274,0.2552069,0.41363686,0.3571944,0.5010268,0.39034018,0.22298063,0.5145093,1.7647998e+07,7.1635055e+06,1.8836395e+06,3.9861538e+06,0.0012638621,0.0018422189,0.0017212413,0.0024297629,-0.55497646,-1.3763821,0.023904324,-0.9621215,0.37203634,0.28566343,0.14723918,0.2743447,3603.121,2481.539,3261.9648,1685.5312,21.465168,21.790619,22.162184,21.922264,0.035629243,0.043050215,0.04169546,0.04988738,21.235954,21.834635,22.527973,21.81983,0.37073708,0.86795616,0.47246265,0.92419434,0.24,0.06382979,0.15957446,0.12068965,1.4567394,0.37318736,0.3425802,0.7,1.6494999,0.35974476,0.49686322,0.4893617,1.7064133,0.6130952,0.350972,0.32978722,1.868536,0.5583294,0.5964207,0.5689655,1.812645,1.5240974,2.7282333,2.4250107,0.11740782,0.12513553,0.13701448,0.15698431,509.05988,272.7715,433.8316,76.94729,18.691957,14.660103,19.76031,9.133115,0.5141019,0.12832156,-0.94750434,0.22340705,0.7647877,0.93809086,0.9240625,1.0936444,0.77396554,0.87031585,0.8211614,0.8516596,21.102953,21.478832,21.14564,20.97867
401,2528737749422753410,1.2871838,1.3712912,1.3646784,1.7270079,0.67689323,1.1953678,0.5846844,1.5275078,0.7481008,0.5510208,0.6373982,1.0376133,0.26,0.41666666,0.2795699,0.40350878,0.0,0.0,0.0,0.0,0.27072567,0.2041659,0.35310462,0.33230317,0.64987564,0.7396706,0.66003424,0.6818101,8.2737565e+06,1.242474e+07,7.7764165e+06,8.568939e+06,0.0007374953,0.00093531,0.00041218943,0.0013117508,0.20573044,-1.0103624,0.6238141,-1.12871,0.3794908,0.40742067,0.3639094,0.3463705,1544.6758,1597.0117,2641.707,2238.039,22.24468,22.555748,23.012207,22.76019,0.02752455,0.031305864,0.021615356,0.039928894,22.23604,22.567202,23.089867,22.648668,0.3378296,0.61369896,0.3029461,0.76137733,0.28,0.16666667,0.23655914,0.0877193,0.9166126,0.45167884,0.3457376,0.54,1.1857033,0.35710558,0.39733362,0.5,0.7970028,0.35691294,0.27051753,0.39784947,1.5943928,0.4023104,0.46685284,0.54385966,1.3852844,1.4018822,1.6013947,1.919981,0.100784615,0.094991736,0.07360649,0.11775046,380.78506,68.94708,15.851277,11.503329,13.66653,5.9405746,2.9377232,3.2076297,-0.3787467,0.066677496,-0.5305236,0.20531765,0.6122748,0.7061272,0.49741706,0.90878916,0.8119402,0.7384069,0.7676604,0.82548976,21.593752,22.229694,22.82014,22.150757
402,2528737751484299020,1.5874424,1.2850246,1.3515244,1.8742056,0.54185104,1.0582924,0.4765091,1.4465103,0.90379566,0.631164,1.0286211,0.5553741,0.25,0.3617021,0.26136363,0.3653846,0.0,0.0,0.0,0.0,0.2613331,0.17547394,0.29956952,0.29960376,1.0475583,0.67366815,0.9662228,0.7819429,3.3499066e+07,1.3362725e+07,1.4576008e+07,1.4140218e+07,0.00075341365,0.00081487396,0.00032227338,0.0009449312,1.035449,-0.9776118,1.1911955,-0.8362689,0.5906273,0.39084587,0.5015074,0.4017629,5113.461,1957.625,4749.328,4435.8516,22.423323,22.71541,23.19098,23.05096,0.028384473,0.029552197,0.020278981,0.041056413,22.386528,22.692757,23.228308,22.885159,0.2498846,0.55151176,0.2412281,0.7066231,0.28846154,0.08510638,0.25,0.15384616,1.0863838,0.41588992,0.4636976,0.75,1.1385956,0.3222877,0.37623584,0.5106383,0.7271595,0.34568748,0.28906518,0.375,1.6402054,0.47453868,0.51198244,0.59615386,1.8557415,1.3009567,1.4715805,2.2060623,0.104710594,0.09456392,0.07565672,0.13386261,217.09952,48.322674,8.407168,7.6823945,10.064857,4.91922,2.116616,2.5153236,0.39353734,0.09334939,-0.34710628,0.2959471,0.6364742,0.6712903,0.47028947,0.9463898,0.76978815,0.718626,0.7487183,0.7931882,21.862772,22.440733,23.03026,22.300922
403,2528737752397323157,1.1418905,1.4132423,1.5033989,1.22299,0.6382942,1.1752949,0.50224686,0.7876835,0.7656912,0.32922348,0.98008245,0.34510186,0.28947368,0.2962963,0.25,0.2631579,4.7226504e-07,0.00045444941,0.90121835,0.7262567,0.15390761,0.19833311,0.20521034,0.3297799,1.3200531,0.87347996,1.2571489,1.5697533,7.0740776e+07,7.956844e+07,3.2819232e+07,5.267127e+07,-0.0001226958,-6.0584316e-05,-0.0020043054,-0.0030321612,0.09522271,-0.931201,3.688808,-0.22817612,0.72158605,0.5517015,0.71914226,0.9378974,3012.6445,3269.2188,4370.9062,1236.7344,24.426277,24.409586,24.714806,23.789719,0.023945553,0.031271014,0.021316245,0.0276951,24.359598,24.510523,24.80254,23.626608,0.3244791,0.6286144,0.28006268,0.39764404,0.21052632,0.11111111,0.28846154,0.21052632,1.1024971,0.33173096,0.39182281,0.7631579,1.3086987,0.39830977,0.37661412,0.44444445,0.9212189,0.5046289,0.30043212,0.23076923,1.083807,0.3347888,0.42298883,0.57894737,1.4161682,1.587101,2.1526031,1.4523964,0.08433854,0.09409689,0.070000604,0.09735397,2.5782492,2.1817892,0.75494176,0.78018975,1.299541,1.2132137,0.5696851,0.68250597,0.722241,-0.17785166,-1.2871745,0.3528112,0.58490074,0.7633125,0.52682686,0.65885866,0.7633809,0.8231902,0.6492642,0.73723,24.043816,24.209793,24.425686,23.387348
